Age,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Gender_Female,Gender_Male,Interest_Arts,Interest_Others,Interest_Sports,Interest_Technology,Interest_Unknown,Personality
19.0,0,9.4708,7.141433769040908,6.03696,4.360278347246059,0,1,0,0,0,0,1,ENFP
27.0,0,5.85392,6.160195143997459,0.80552,4.221421070826066,1,0,0,0,1,0,0,ESFP
21.0,0,7.08615,3.388433120634816,2.66188,5.127319577123164,1,0,0,0,0,0,1,ENFP
28.0,0,2.01892,4.823624399390112,7.30625,5.986550261243721,0,1,0,1,0,0,0,INTP
36.0,1,9.91703,4.755080032736203,5.31469,4.677212959749531,1,0,0,0,0,1,0,ENFP
25.0,0,7.66292,5.758030381946754,1.97014,4.5639071604170685,0,1,0,1,0,0,0,ENFP
26.0,1,2.73185,5.898909562994652,3.64832,5.800524624138213,1,0,0,0,0,0,1,INFP
27.0,0,5.24958,5.963289979260586,1.16176,5.873350203710544,1,0,0,0,1,0,0,ENFJ
29.0,0,8.86018,3.681569943353949,7.78505,1.6405600773473736,0,1,0,1,0,0,0,ENTP
24.0,0,1.62636,5.16090630612241,7.25476,3.825848915879362,1,0,0,0,0,1,0,INTP
20.0,0,4.44978,6.089878211324411,5.61132,5.512740733549341,0,1,0,0,0,0,1,ENFP
29.0,1,7.69101,4.198218462295224,9.22787,6.078682813501047,1,0,1,0,0,0,0,ENTP
24.0,1,6.91714,4.558755433492363,0.54447,6.19542851798342,0,1,0,0,0,1,0,ENFP
21.0,1,6.98615,5.513660308041457,3.99711,3.81043170194681,0,1,0,1,0,0,0,ENFP
23.0,1,5.02108,4.806293808499392,4.41489,4.865309178178281,0,1,0,0,0,0,1,ENFP
20.0,1,1.05075,3.5388302421549707,3.58539,4.904498267922758,0,1,0,0,1,0,0,INFP
34.0,0,2.97406,6.561362515753111,8.01507,5.291649954974276,1,0,0,0,0,0,1,ESTP
25.0,1,5.95661,4.675505801811452,4.82753,3.5769749539225484,0,1,0,0,0,1,0,ENFP
22.0,0,1.9881,5.297795822340446,1.94376,4.94771826390347,0,1,0,0,0,0,1,INFP
22.0,0,4.8135,6.218506801710163,4.97504,4.52122469016506,0,1,0,1,0,0,0,ENFP
22.0,0,7.28217,3.892035125177869,6.73086,2.879986213423755,0,1,0,1,0,0,0,ENTP
23.0,1,5.14144,5.672516543535155,1.59071,5.465588715160411,0,1,0,1,0,0,0,ENFP
35.0,1,3.60059,3.899557984816191,0.74605,5.043054736610004,0,1,0,0,0,1,0,INFP
23.0,1,7.50955,3.94689027971948,9.52882,5.773542590667019,0,1,1,0,0,0,0,ENTP
25.0,1,3.89745,5.073470127316163,3.24135,5.5652426803346025,0,1,0,0,0,0,1,INFP
24.0,0,5.99374,5.213776165528277,9.33049,4.250437322618527,0,1,0,0,1,0,0,ENTP
31.0,0,3.46634,4.725418190049961,3.51421,3.769920052096752,0,1,0,1,0,0,0,INFP
21.0,0,8.32854,5.210637168898139,0.00892,2.353765162175695,1,0,0,0,0,0,1,ENFP
25.0,1,2.31423,3.425540266233399,3.2825,4.18511601543237,1,0,0,0,1,0,0,INFP
27.0,0,1.24016,4.6558235532278855,4.47015,4.961120863053499,0,1,0,0,0,0,1,INFP
28.0,0,3.69727,5.72958407359293,8.49998,4.79668746020638,0,1,1,0,0,0,0,INTP
30.0,1,1.16427,5.445305289213281,4.1477,3.719282036097309,1,0,0,0,0,0,1,INFP
21.0,0,6.54908,7.150250997870084,7.07023,0.9790416332240516,1,0,0,0,0,0,1,ENTP
26.0,1,1.1512,6.613682126233502,5.71533,4.196308904400764,1,0,1,0,0,0,0,ISTP
26.0,1,1.93216,2.927405134562906,5.2663,5.8189585563148185,0,1,1,0,0,0,0,INFP
22.0,1,3.51518,6.821362879229238,1.21039,4.213387442481412,0,1,0,0,1,0,0,INFP
22.0,0,2.87589,5.281029337399969,9.58686,5.867620793457859,0,1,0,0,1,0,0,INTJ
27.0,0,2.05424,4.541825360909142,4.42055,5.792083261470624,1,0,0,0,1,0,0,INFJ
29.0,0,1.55425,6.075084477092688,8.86643,6.041593413889316,1,0,0,0,0,0,1,INTJ
34.0,0,0.92829,3.502228223362056,1.39411,5.562323027075634,0,1,1,0,0,0,0,INFP
24.0,0,4.80809,4.649152292773423,6.91042,2.719053032180458,0,1,0,1,0,0,0,ENTP
27.0,0,2.88572,4.748492595434767,6.72599,2.7894945112090364,0,1,0,0,0,0,1,INTP
22.0,1,8.83877,2.7559568764077733,5.51738,4.228300739009554,0,1,1,0,0,0,0,ENTP
28.0,1,7.15033,6.180997452917647,9.10358,2.73191723794598,0,1,0,1,0,0,0,ESTP
31.0,0,9.7164,5.7155139235421375,9.69858,1.4166391213263605,1,0,0,0,1,0,0,ENTP
22.0,0,5.01007,6.214673718177959,5.50224,4.5710043651897125,0,1,0,0,0,0,1,INFP
38.0,0,3.22195,4.781985047195501,9.96685,1.7765646018861103,0,1,1,0,0,0,0,INTP
26.0,0,3.30948,6.725534178243877,5.46392,1.128448412386999,0,1,0,0,0,1,0,ISFP
21.0,0,4.97157,5.600313613055119,2.38771,4.919514439285285,0,1,0,0,0,0,1,ENFP
27.0,0,4.10376,3.4243492455090068,9.21442,4.018208000547115,0,1,0,1,0,0,0,INTP
32.0,1,7.14005,3.246288490212101,7.23628,1.0754617840610603,1,0,0,0,0,0,1,ENTP
30.0,0,0.63652,4.268877195141215,4.34841,3.3262908402245968,1,0,1,0,0,0,0,INFP
