Age;Gender;Education;Introversion Score;Sensing Score;Thinking Score;Judging Score;Interest;Personality
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
19~25;Male;0;0~2;3~4;0~5;2~4;Unknown~Technology;INFP
20~23;Male;0;2~4;1~4;0~3;2~4;Unknown~Technology;INFP
20~23;Male;0;2~4;1~4;0~3;2~4;Unknown~Technology;ENFP
20~23;Male;0;2~4;1~4;0~3;2~4;Unknown~Technology;INFP
20~23;Male;0;2~4;1~4;0~3;2~4;Unknown~Technology;INFP
20~23;Male;0;2~4;1~4;0~3;2~4;Unknown~Technology;INFP
23~25;Male;0;2~4;3~4;4~4;2~3;Unknown~Technology;ENFP
23~25;Male;0;2~4;3~4;4~4;2~3;Unknown~Technology;INFP
23~25;Male;0;2~4;3~4;4~4;2~3;Unknown~Technology;INFP
23~25;Male;0;2~4;3~4;4~4;2~3;Unknown~Technology;INFP
23~25;Male;0;2~4;3~4;4~4;2~3;Unknown~Technology;INFP
20~25;Male;0;0~2;4~5;1~2;2~4;Unknown~Technology;INFP
20~25;Male;0;0~2;4~5;1~2;2~4;Unknown~Technology;INFP
20~25;Male;0;0~2;4~5;1~2;2~4;Unknown~Technology;INFP
20~25;Male;0;0~2;4~5;1~2;2~4;Unknown~Technology;INFP
20~25;Male;0;0~2;4~5;1~2;2~4;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;2~4;2~4;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;2~4;2~4;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;2~4;2~4;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;2~4;2~4;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;2~4;2~4;Unknown~Technology;INFP
20~24;Male;0;2~5;4~4;1~2;2~4;Unknown;ENFP
20~24;Male;0;2~5;4~4;1~2;2~4;Unknown;INFP
20~24;Male;0;2~5;4~4;1~2;2~4;Unknown;INFP
20~24;Male;0;2~5;4~4;1~2;2~4;Unknown;ENFP
20~24;Male;0;2~5;4~4;1~2;2~4;Unknown;ENFP
21~25;Male;0;2~4;4~4;3~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~4;4~4;3~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~4;4~4;3~4;3~4;Unknown~Technology;INFP
21~25;Male;0;2~4;4~4;3~4;3~4;Unknown~Technology;ENFP
21~25;Male;0;2~4;4~4;3~4;3~4;Unknown~Technology;ENFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
21~24;Male;0;0~0;2~3;2~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;1~4;2~4;1~4;1~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
20~25;Male;0;0~3;4~4;0~3;2~4;Others~Sports~Arts;INFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;ENFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;ENFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;ENFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;INFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;ENFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;INFP
21~24;Male;0;3~5;4~4;1~5;2~4;Others~Sports~Arts;INFP
21~25;Male;0;0~1;3~4;0~3;4~5;Unknown;INFP
21~25;Male;0;0~1;3~4;0~3;4~5;Unknown;INFP
21~25;Male;0;0~1;3~4;0~3;4~5;Unknown;INFP
21~25;Male;0;0~1;3~4;0~3;4~5;Unknown;INFP
21~25;Male;0;0~1;3~4;0~3;4~5;Unknown;INFP
20~25;Male;0;0~2;1~4;3~4;4~5;Unknown;INFP
20~25;Male;0;0~2;1~4;3~4;4~5;Unknown;INFP
20~25;Male;0;0~2;1~4;3~4;4~5;Unknown;INFP
20~25;Male;0;0~2;1~4;3~4;4~5;Unknown;INFP
20~25;Male;0;0~2;1~4;3~4;4~5;Unknown;INFP
22~24;Male;0;2~4;2~4;0~1;4~6;Unknown~Technology;INFJ
22~24;Male;0;2~4;2~4;0~1;4~6;Unknown~Technology;INFP
22~24;Male;0;2~4;2~4;0~1;4~6;Unknown~Technology;INFP
22~24;Male;0;2~4;2~4;0~1;4~6;Unknown~Technology;INFP
22~24;Male;0;2~4;2~4;0~1;4~6;Unknown~Technology;INFP
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;INFP
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;INFP
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;ENFJ
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;INFP
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;INFP
22~25;Male;0;3~4;2~4;2~5;4~7;Unknown~Technology;INFJ
21~25;Male;0;1~2;4~4;0~2;4~6;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;0~2;4~6;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;0~2;4~6;Unknown~Technology;INFJ
21~25;Male;0;1~2;4~4;0~2;4~6;Unknown~Technology;INFP
21~25;Male;0;1~2;4~4;0~2;4~6;Unknown~Technology;INFJ
21~24;Male;0;0~2;4~5;2~4;4~6;Unknown;INFP
21~24;Male;0;0~2;4~5;2~4;4~6;Unknown;INFJ
21~24;Male;0;0~2;4~5;2~4;4~6;Unknown;INFJ
21~24;Male;0;0~2;4~5;2~4;4~6;Unknown;INFJ
21~24;Male;0;0~2;4~5;2~4;4~6;Unknown;INFJ
20~24;Male;0;2~5;4~4;0~2;4~7;Unknown~Technology;ENFP
20~24;Male;0;2~5;4~4;0~2;4~7;Unknown~Technology;INFP
20~24;Male;0;2~5;4~4;0~2;4~7;Unknown~Technology;ENFP
20~24;Male;0;2~5;4~4;0~2;4~7;Unknown~Technology;INFJ
20~24;Male;0;2~5;4~4;0~2;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFP
20~25;Male;0;2~4;4~5;3~4;4~7;Unknown~Technology;INFJ
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFJ
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFP
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFP
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFP
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFJ
21~25;Male;0;0~2;2~4;1~4;5~6;Others~Sports~Arts;INFJ
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;INFP
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;INFP
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;ENFP
21~25;Male;0;2~4;2~3;1~5;4~6;Others~Sports~Arts;INFJ
