Age;Gender;Degree;Branch;CGPA;Internships;Projects;Coding_Skills;Communication_Skills;Aptitude_Test_Score;Soft_Skills_Rating;Certifications;Backlogs;Placement_Status
18~19;Female;B.Tech~BCA;ECE~ME;5~5;0;2~3;2~4;3~5;45~54;4~5;1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~5;0;2~3;2~4;3~5;45~54;4~5;1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~5;0;2~3;2~4;3~5;45~54;4~5;1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~5;0;2~3;2~4;3~5;45~54;4~5;1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~5;0;2~3;2~4;3~5;45~54;4~5;1;1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~6;0;3;3~4;3~5;52~58;4~5;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~6;0;3;3~4;3~5;52~58;4~5;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~6;0;3;3~4;3~5;52~58;4~5;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~6;0;3;3~4;3~5;52~58;4~5;1;0~1;Not Placed
18~19;Female;B.Tech~BCA;ECE~ME;5~6;0;3;3~4;3~5;52~58;4~5;1;0~1;Not Placed
18~19;Female;BCA;Civil;4~6;0;1~3;1~4;4~5;35~56;4~5;0~1;1;Not Placed
18~19;Female;BCA;Civil;4~6;0;1~3;1~4;4~5;35~56;4~5;0~1;1;Not Placed
18~19;Female;BCA;Civil;4~6;0;1~3;1~4;4~5;35~56;4~5;0~1;1;Not Placed
18~19;Female;BCA;Civil;4~6;0;1~3;1~4;4~5;35~56;4~5;0~1;1;Not Placed
18~19;Female;BCA;Civil;4~6;0;1~3;1~4;4~5;35~56;4~5;0~1;1;Not Placed
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
18~19;Female;B.Tech~BCA;Civil;6~6;0;2~3;2~4;3~5;35~57;3~5;0~1;0~1;Not Placed
