Age;Gender;School_Grade;Daily_Usage_Hours;Sleep_Hours;Academic_Performance;Social_Interactions;Exercise_Hours;Anxiety_Level;Depression_Level;Self_Esteem;Parental_Control;Screen_Time_Before_Bed;Phone_Checks_Per_Day;Apps_Used_Daily;Time_on_Social_Media;Time_on_Gaming;Time_on_Education;Phone_Usage_Purpose;Family_Communication;Weekend_Usage_Hours;Addiction_Level
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;10.0
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;10.0
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;5.4
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;8.8
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;9.0
13~16;Female~Other;7~9;2~4;3~6;51~75;1~6;0~1;1~5;4~6;2~9;0~1;0~1;30~145;7~20;1~3;1~3;0~2;Browsing~Education~Social Media~Gaming~Other;4~10;3~10;8.5
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;5.7
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;5.2
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;5.4
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;7.4
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;8.9
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;8.0
13~15;Female~Other;7~9;0~4;3~6;51~76;0~6;0~1;1~5;7~10;1~7;0~1;0~1;25~111;5~19;0~3;0~1;0~1;Browsing~Education~Social Media~Gaming~Other;1~9;1~9;8.2
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;10.0
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;10.0
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;9.6
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;7.5
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;7.1
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;8.5
14~16;Female~Other;7~9;1~4;4~6;50~76;0~6;0~1;6~9;1~7;1~10;0~1;0~1;47~143;6~19;1~3;0~2;0~2;Education~Social Media~Gaming~Other;1~10;3~8;10.0
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;9.2
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;7.5
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;10.0
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;8.6
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;6.4
13~16;Female~Other;7~8;2~4;4~6;59~70;0~5;0~1;6~10;8~10;1~10;0~1;0~1;39~150;5~20;1~2;0~2;0~2;Social Media~Gaming;4~9;5~7;9.4
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;8.2
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;4.6
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;10.0
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;8.3
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;8.1
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;10.0
13~16;Female~Other;7~9;2~4;3~6;51~76;2~6;1~1;2~5;1~6;1~8;0~1;0~1;39~144;5~20;0~4;0~2;0~1;Education~Social Media~Gaming~Other;1~10;1~7;9.5
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;7.7
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;7.7
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;10.0
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;8.2
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;2.8
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;8.1
14~16;Female~Other;7~9;2~4;3~6;56~73;1~6;1~2;1~5;7~10;2~10;0~1;0~1;42~127;5~19;1~2;0~2;0~2;Browsing~Education~Social Media~Gaming~Other;4~9;2~7;9.5
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;10.0
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;10.0
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;7.1
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;7.8
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;9.3
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;10.0
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;8.9
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;7.6
14~16;Female~Other;7~9;2~5;4~6;50~76;0~6;1~3;6~10;3~10;1~10;0~1;0~1;21~136;5~20;1~3;0~2;0~2;Browsing~Education~Social Media~Gaming;1~10;4~9;10.0
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;7.8
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;8.0
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;5.0
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;7.1
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;9.6
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;8.6
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;10.0
13~16;Female~Other;7~9;0~5;4~6;51~68;7~10;0~1;1~5;2~9;1~9;0~1;0~1;43~140;6~19;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;1~8;2~9;10.0
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;8.1
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;10.0
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;8.6
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;6.6
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;10.0
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;6.1
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;7.1
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;8.6
13~16;Female~Other;7~9;0~4;4~6;57~72;7~10;0~1;6~10;2~10;1~8;0~1;0~1;24~142;7~16;0~4;0~3;0~1;Browsing~Education~Social Media~Gaming~Other;3~9;4~7;8.0
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;10.0
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;10.0
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;8.6
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;5.8
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;8.8
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;9.4
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;9.2
13~15;Female~Other;7~9;2~5;4~6;53~75;7~10;1~3;1~6;3~10;1~10;0~1;0~1;37~145;7~18;1~3;0~2;0~1;Browsing~Education~Social Media~Gaming~Other;2~10;3~10;8.9
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;10.0
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;10.0
13~16;Female~Other;7~9;2~4;3~5;50~74;7~10;1~2;7~10;1~10;2~10;0~1;0~1;29~127;9~18;0~4;0~3;0~2;Browsing~Education~Social Media~Gaming~Other;2~10;3~12;9.9
