Age_min,Age_max,Gender,Degree,Branch,CGPA_min,CGPA_max,Internships_min,Internships_max,Projects_min,Projects_max,Coding_Skills_min,Coding_Skills_max,Communication_Skills_min,Communication_Skills_max,Aptitude_Test_Score_min,Aptitude_Test_Score_max,Soft_Skills_Rating_min,Soft_Skills_Rating_max,Certifications_min,Certifications_max,Backlogs_min,Backlogs_max
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME']",5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,6.0,40.0,59.0,3.0,6.0,1.0,1.0,0.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']",['Civil'],5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,49.0,60.0,4.0,6.0,1.0,1.0,1.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']",['Civil'],5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,49.0,60.0,4.0,6.0,1.0,1.0,1.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']",['Civil'],5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,49.0,60.0,4.0,6.0,1.0,1.0,1.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']",['Civil'],5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,49.0,60.0,4.0,6.0,1.0,1.0,1.0,1.0
18.0,19.0,['Male'],"['B.Tech', 'B.Sc']",['Civil'],5.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0,49.0,60.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
20.0,21.0,['Male'],"['B.Tech', 'B.Sc']","['ECE', 'ME', 'Civil']",4.0,5.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,36.0,59.0,4.0,6.0,1.0,1.0,1.0,1.0
